,comunidad,provincia,población,latitud,longitud,altitud,habitantes,hombres,mujeres,idprovincia
6267,Galicia,A CORUÑA,Abegondo,43.21667,-8.283333,99.71806,5798,2876,2922,15
6268,Galicia,A CORUÑA,Ames,42.9,-8.633333,216.3797,26983,13079,13904,15
6269,Galicia,A CORUÑA,Aranga,43.23333,-8.016667,275.3901,2142,1066,1076,15
6270,Galicia,A CORUÑA,Ares,43.4263,-8.247746,9.654655,5673,2798,2875,15
6271,Galicia,A CORUÑA,Arteixo,43.30451,-8.511387,36.12324,29762,14906,14856,15
6272,Galicia,A CORUÑA,Arzúa,42.92717,-8.164196,385.5346,6490,3241,3249,15
6273,Galicia,A CORUÑA,Baña (A),42.80187,-8.842805,132.5069,4415,2113,2302,15
6274,Galicia,A CORUÑA,Bergondo,43.31667,-8.233334,111.32,6696,3228,3468,15
6275,Galicia,A CORUÑA,Betanzos,43.28106,-8.211315,30.77564,13680,6530,7150,15
6276,Galicia,A CORUÑA,Boimorto,43.008,-8.127,486.9221,2288,1154,1134,15
6277,Galicia,A CORUÑA,Boiro,42.65,-8.9,39.57637,18883,9191,9692,15
6278,Galicia,A CORUÑA,Boqueixón,42.817,-8.417,295.4394,4462,2184,2278,15
6279,Galicia,A CORUÑA,Brión,42.867,-8.678,113.9952,7205,3486,3719,15
6280,Galicia,A CORUÑA,Cabana de Bergantiños,43.21917,-8.98,91.22826,4985,2459,2526,15
6281,Galicia,A CORUÑA,Cabanas,43.41724,-8.16521,14.01326,3336,1662,1674,15
6282,Galicia,A CORUÑA,Camariñas,43.12862,-9.184929,8.057896,6224,3089,3135,15
6283,Galicia,A CORUÑA,Cambre,43.29416,-8.34498,59.3171,23231,11426,11805,15
6284,Galicia,A CORUÑA,Capela (A),42.69293,-8.792709,69.87862,1417,706,711,15
6285,Galicia,A CORUÑA,Carballo,43.21217,-8.691041,108.2141,30990,15129,15861,15
6286,Galicia,A CORUÑA,Cariño,43.73265,-7.877766,9.662794,4590,2253,2337,15
6287,Galicia,A CORUÑA,Carnota,42.82107,-9.0871,39.35276,4938,2375,2563,15
6288,Galicia,A CORUÑA,Carral,43.2297,-8.355897,143.3725,5770,2820,2950,15
6289,Galicia,A CORUÑA,Cedeira,43.66142,-8.05547,9.32181,7465,3736,3729,15
6290,Galicia,A CORUÑA,Cee,42.95541,-9.18975,5.529384,7712,3748,3964,15
6291,Galicia,A CORUÑA,Cerceda,43.16024,-8.473271,340.3528,5570,2713,2857,15
6292,Galicia,A CORUÑA,Cerdido,43.62384,-7.994961,127.0117,1359,663,696,15
6293,Galicia,A CORUÑA,Cesuras,43.17367,-8.197223,380.5045,2219,1089,1130,15
6294,Galicia,A CORUÑA,Coirós,43.25033,-8.164351,214.9906,1713,846,867,15
6295,Galicia,A CORUÑA,Corcubión,42.94464,-9.19431,12.05067,1815,888,927,15
6296,Galicia,A CORUÑA,Coristanco,43.19048,-8.760949,121.6658,7285,3536,3749,15
6297,Galicia,A CORUÑA,Coruña (A),43.37087,-8.395835,16.76067,246056,114498,131558,15
6298,Galicia,A CORUÑA,Culleredo,43.31584,-8.384923,60.64721,28227,13759,14468,15
6299,Galicia,A CORUÑA,Curtis,43.12437,-8.146308,524.2576,4246,2114,2132,15
6300,Galicia,A CORUÑA,Dodro,42.7175,-8.714723,8.638529,3029,1474,1555,15
6301,Galicia,A CORUÑA,Dumbría,43.00933,-9.11521,196.8048,3751,1796,1955,15
6302,Galicia,A CORUÑA,Fene,43.47521,-8.165961,31.51714,14165,6830,7335,15
6303,Galicia,A CORUÑA,Ferrol,43.48839,-8.222509,17.92745,74273,34876,39397,15
6304,Galicia,A CORUÑA,Fisterra,42.90507,-9.264338,26.53479,5005,2538,2467,15
6305,Galicia,A CORUÑA,Frades,43.04,-8.277223,330.4912,2706,1344,1362,15
6306,Galicia,A CORUÑA,Irixoa,43.28474,-8.058925,362.8766,1526,759,767,15
6307,Galicia,A CORUÑA,Laracha (A),43.25232,-8.584469,165.5166,11171,5456,5715,15
6308,Galicia,A CORUÑA,Laxe,43.21975,-9.005163,10.11361,3413,1696,1717,15
6309,Galicia,A CORUÑA,Lousame,42.75896,-8.846885,76.47759,3687,1743,1944,15
6310,Galicia,A CORUÑA,Malpica de Bergantiños,43.32416,-8.809312,18.54621,6228,3021,3207,15
6311,Galicia,A CORUÑA,Mañón,43.7692,-7.685581,122.7509,1622,796,826,15
6312,Galicia,A CORUÑA,Mazaricos,42.93893,-8.992199,309.7912,4939,2373,2566,15
6313,Galicia,A CORUÑA,Melide,42.91393,-8.014727,456.2325,7874,3865,4009,15
6314,Galicia,A CORUÑA,Mesía,43.11592,-8.244491,396.5716,2975,1500,1475,15
6315,Galicia,A CORUÑA,Miño,43.3475,-8.206388,35.12242,5488,2704,2784,15
6316,Galicia,A CORUÑA,Moeche,43.55053,-7.991225,124.2339,1416,666,750,15
6317,Galicia,A CORUÑA,Monfero,43.32491,-8.054685,313.0533,2299,1164,1135,15
6318,Galicia,A CORUÑA,Mugardos,43.46075,-8.253842,26.80462,5565,2716,2849,15
6319,Galicia,A CORUÑA,Muros,42.77432,-9.057509,13.47934,9787,4752,5035,15
6320,Galicia,A CORUÑA,Muxía,43.10466,-9.218463,10.06232,5510,2688,2822,15
