,level_0,index,K,id_torre,lat_torre,lng_torre,radio_torre
0,0,0,40,1,42.1609237122532,-7.951038455618924,17.103858535840676
1,1,719,40,2,42.69540066494018,-7.505463481025644,28.704195142624073
2,2,1304,40,3,41.89549929296876,-7.48581745630208,12.482996321591044
3,3,1688,40,4,42.3493666344266,-7.535446791126753,19.464920461653307
4,4,2185,40,5,42.30221609473001,-7.172312752062183,15.768069153691048
5,5,2796,40,6,42.410579143490025,-8.588179085027116,22.606629016739387
6,6,3349,40,7,42.157241785029726,-7.037659367564349,17.427755787147024
7,7,3854,40,8,42.841075695160384,-8.000692083082273,23.764903627144072
8,8,4571,40,9,41.98162846848262,-7.597580909323592,17.02782968068019
9,9,5118,40,10,42.389188255661296,-6.920860874370966,28.78153328088421
10,10,5738,40,11,42.21098281715571,-7.189043533756708,9.233734066770669
11,11,6297,40,12,42.2311308243572,-7.406939299565956,16.70001529452927
12,12,6896,40,13,43.54134661663177,-8.071006773188627,36.01106712339467
13,13,7564,40,14,42.205675105585534,-7.666902039240491,15.520106628973814
14,14,8196,40,15,43.3522557241187,-7.537501837474578,43.5913035183046
15,15,8786,40,16,42.87832179971531,-8.816517917077809,17.137512431948288
16,16,9313,40,17,42.85312332313137,-8.580183000589225,23.47859271368929
17,17,9907,40,18,,,
18,18,9908,40,19,42.329635552347,-8.298732146540855,17.08883863898018
19,19,10888,40,20,41.94564804618702,-7.284256354316549,15.621870753210791
20,20,11305,40,21,42.439148740030056,-8.077832307954875,16.999094447282314
21,21,11970,40,22,42.98573535007937,-7.770756392603166,26.98892759864214
22,22,12600,40,23,42.430352458599344,-7.8114274396078525,19.164664442320827
23,23,13314,40,24,42.63081321564516,-8.682407068279558,18.460584773675816
24,24,13686,40,25,42.66772028549365,-8.953710473535038,22.618796210965684
25,25,14314,40,26,43.141191414303144,-8.810263656825219,22.10715844453779
26,26,15218,40,27,42.01611277010453,-7.055496316045303,10.05894929164762
27,27,15792,40,28,42.080555274166755,-7.221130405170939,17.089880589772168
28,28,16260,40,29,43.2764283196528,-8.44453344087964,18.29067151931358
29,29,16692,40,30,42.59083213865382,-7.97855582266828,21.53797585863778
30,30,17524,40,31,43.18131007700007,-8.048632828769234,24.433651762270276
31,31,18174,40,32,41.977876276362466,-7.844602470392895,14.395515330599562
32,32,18963,40,33,42.39312430216646,-7.3314554683931075,29.13965723961251
33,33,19660,40,34,43.08862575164205,-8.461265722380068,23.5721033594923
34,34,20202,40,35,42.8974325291968,-7.120743395797446,47.79274383963968
35,35,21061,40,36,42.1105508086793,-8.666343257375656,30.075075374683266
36,36,21644,40,37,42.16731065064679,-8.30322467770943,17.673366872481758
37,37,22587,40,38,42.99781577107784,-9.107430978074227,21.463350319132815
38,38,23153,40,39,41.948152903929575,-8.036423735140856,14.749913961226412
39,39,23863,40,40,42.619839041784175,-8.303717416334713,21.738167518451004
40,40,24586,41,1,41.945233288257214,-7.585900886298074,17.95810646696855
41,41,25418,41,2,42.97430552550218,-7.807951170946141,26.683127849608965
42,42,26105,41,3,42.57077250357647,-8.689690852658805,23.33982962126433
43,43,26530,41,4,42.85303832329976,-8.825528030261577,16.97152737784324
44,44,27027,41,5,42.475757245046736,-8.072445110023358,14.773109946097112
45,45,27883,41,6,42.62784667093468,-8.31389829823442,20.884180367782882
